INFO:root:n: 500000 D: 128 queries: 3200 anchors: 128 k: 64 method: anchor lr: 0.0001
INFO:root:recall_test: 0.5484
INFO:root:Epoch [1], Loss: 564.8309, Test Loss: 727.9738, recall_train: 0.7033, recall_test: 0.5625 recall_val: 0.6078
INFO:root:Epoch [2], Loss: 570.0787, Test Loss: 724.5333, recall_train: 0.7052, recall_test: 0.5625 recall_val: 0.6062
INFO:root:Epoch [3], Loss: 549.6317, Test Loss: 713.0878, recall_train: 0.7075, recall_test: 0.5656 recall_val: 0.6109
INFO:root:Epoch [4], Loss: 559.5984, Test Loss: 718.9532, recall_train: 0.7074, recall_test: 0.5609 recall_val: 0.6000
INFO:root:Epoch [5], Loss: 749.1979, Test Loss: 702.3615, recall_train: 0.7069, recall_test: 0.5672 recall_val: 0.6250
INFO:root:Epoch [6], Loss: 478.3456, Test Loss: 717.9505, recall_train: 0.7077, recall_test: 0.5656 recall_val: 0.6078
INFO:root:Epoch [7], Loss: 675.6716, Test Loss: 727.0856, recall_train: 0.7095, recall_test: 0.5656 recall_val: 0.6078
INFO:root:Epoch [8], Loss: 500.0136, Test Loss: 731.7776, recall_train: 0.7099, recall_test: 0.5656 recall_val: 0.5953
INFO:root:Epoch [9], Loss: 627.7480, Test Loss: 722.5617, recall_train: 0.7092, recall_test: 0.5719 recall_val: 0.6062
INFO:root:Epoch [10], Loss: 593.8378, Test Loss: 714.4860, recall_train: 0.7082, recall_test: 0.5641 recall_val: 0.6109
INFO:root:Epoch [11], Loss: 741.7357, Test Loss: 706.3160, recall_train: 0.7078, recall_test: 0.5719 recall_val: 0.5891
INFO:root:Epoch [12], Loss: 589.5985, Test Loss: 701.5762, recall_train: 0.7111, recall_test: 0.5719 recall_val: 0.6047
INFO:root:Epoch [13], Loss: 615.9147, Test Loss: 688.3577, recall_train: 0.7108, recall_test: 0.5750 recall_val: 0.6297
INFO:root:Epoch [14], Loss: 492.2340, Test Loss: 692.0787, recall_train: 0.7114, recall_test: 0.5672 recall_val: 0.6141
INFO:root:Epoch [15], Loss: 528.9837, Test Loss: 691.4496, recall_train: 0.7131, recall_test: 0.5469 recall_val: 0.6234
INFO:root:Epoch [16], Loss: 732.0013, Test Loss: 681.0345, recall_train: 0.7139, recall_test: 0.5609 recall_val: 0.6172
INFO:root:Epoch [17], Loss: 635.9293, Test Loss: 653.1521, recall_train: 0.7131, recall_test: 0.5547 recall_val: 0.6078
