INFO:root:n: 500000 D: 128 queries: 3200 anchors: 128 k: 128 method: plane lr: 0.0001
INFO:root:recall_test: 0.6375
INFO:root:Epoch [1], Loss: 2102.6340, Test Loss: 1991.4443, recall_train: 0.6580, recall_test: 0.6344 recall_val: 0.6984
INFO:root:Epoch [2], Loss: 2384.5508, Test Loss: 2001.6663, recall_train: 0.6603, recall_test: 0.6375 recall_val: 0.7031
INFO:root:Epoch [3], Loss: 1695.2301, Test Loss: 1971.6272, recall_train: 0.6616, recall_test: 0.6438 recall_val: 0.6859
INFO:root:Epoch [4], Loss: 1883.8877, Test Loss: 1952.5680, recall_train: 0.6633, recall_test: 0.6391 recall_val: 0.6844
INFO:root:Epoch [5], Loss: 1882.1819, Test Loss: 1908.0449, recall_train: 0.6647, recall_test: 0.6312 recall_val: 0.6875
INFO:root:Epoch [6], Loss: 1838.2699, Test Loss: 1918.5479, recall_train: 0.6672, recall_test: 0.6359 recall_val: 0.6891
INFO:root:Epoch [7], Loss: 2056.5698, Test Loss: 1906.6061, recall_train: 0.6665, recall_test: 0.6359 recall_val: 0.6906
INFO:root:Epoch [8], Loss: 1851.8135, Test Loss: 1907.5645, recall_train: 0.6686, recall_test: 0.6281 recall_val: 0.6953
INFO:root:Epoch [9], Loss: 2191.3755, Test Loss: 1884.3879, recall_train: 0.6674, recall_test: 0.6266 recall_val: 0.7031
INFO:root:Epoch [10], Loss: 1880.7021, Test Loss: 1895.1119, recall_train: 0.6689, recall_test: 0.6312 recall_val: 0.6953
INFO:root:Epoch [11], Loss: 2282.7273, Test Loss: 1865.9714, recall_train: 0.6699, recall_test: 0.6312 recall_val: 0.7047
INFO:root:Epoch [12], Loss: 1879.9778, Test Loss: 1848.5254, recall_train: 0.6726, recall_test: 0.6281 recall_val: 0.7047
INFO:root:Epoch [13], Loss: 1785.3451, Test Loss: 1842.0703, recall_train: 0.6718, recall_test: 0.6188 recall_val: 0.7047
INFO:root:Epoch [14], Loss: 1761.6803, Test Loss: 1804.3674, recall_train: 0.6733, recall_test: 0.6281 recall_val: 0.7031
INFO:root:Epoch [15], Loss: 1986.3656, Test Loss: 1788.6492, recall_train: 0.6756, recall_test: 0.6328 recall_val: 0.6969
INFO:root:Epoch [16], Loss: 2116.2019, Test Loss: 1825.1451, recall_train: 0.6771, recall_test: 0.6188 recall_val: 0.6969
INFO:root:Epoch [17], Loss: 1715.0219, Test Loss: 1837.5264, recall_train: 0.6777, recall_test: 0.6219 recall_val: 0.6984
INFO:root:Epoch [18], Loss: 1958.8066, Test Loss: 1774.5739, recall_train: 0.6793, recall_test: 0.6328 recall_val: 0.6844
INFO:root:Epoch [19], Loss: 2028.9469, Test Loss: 1802.5144, recall_train: 0.6804, recall_test: 0.6438 recall_val: 0.6844
INFO:root:Epoch [20], Loss: 1974.5452, Test Loss: 1817.0690, recall_train: 0.6792, recall_test: 0.6328 recall_val: 0.6875
INFO:root:Epoch [21], Loss: 1774.1028, Test Loss: 1833.6877, recall_train: 0.6795, recall_test: 0.6266 recall_val: 0.7016
INFO:root:Epoch [22], Loss: 1946.0017, Test Loss: 1750.7145, recall_train: 0.6814, recall_test: 0.6359 recall_val: 0.7047
INFO:root:Epoch [23], Loss: 1567.0437, Test Loss: 1742.9880, recall_train: 0.6835, recall_test: 0.6328 recall_val: 0.7016
INFO:root:Epoch [24], Loss: 1672.1602, Test Loss: 1759.3646, recall_train: 0.6852, recall_test: 0.6359 recall_val: 0.7094
INFO:root:Epoch [25], Loss: 1660.3799, Test Loss: 1753.9049, recall_train: 0.6862, recall_test: 0.6203 recall_val: 0.6922
INFO:root:Epoch [26], Loss: 1717.9489, Test Loss: 1739.9111, recall_train: 0.6872, recall_test: 0.6344 recall_val: 0.6969
INFO:root:Epoch [27], Loss: 1349.3005, Test Loss: 1744.4391, recall_train: 0.6866, recall_test: 0.6172 recall_val: 0.6969
INFO:root:Epoch [28], Loss: 1622.9342, Test Loss: 1703.2291, recall_train: 0.6877, recall_test: 0.6344 recall_val: 0.6937
INFO:root:Epoch [29], Loss: 1909.7219, Test Loss: 1701.7810, recall_train: 0.6877, recall_test: 0.6344 recall_val: 0.6891
INFO:root:Epoch [30], Loss: 1588.0997, Test Loss: 1691.7432, recall_train: 0.6890, recall_test: 0.6438 recall_val: 0.6953
INFO:root:Epoch [31], Loss: 1333.2533, Test Loss: 1668.8978, recall_train: 0.6898, recall_test: 0.6422 recall_val: 0.7031
INFO:root:Epoch [32], Loss: 1552.5830, Test Loss: 1670.1859, recall_train: 0.6888, recall_test: 0.6453 recall_val: 0.6922
INFO:root:Epoch [33], Loss: 1672.4509, Test Loss: 1685.1920, recall_train: 0.6896, recall_test: 0.6359 recall_val: 0.6828
INFO:root:Epoch [34], Loss: 1405.2100, Test Loss: 1688.6687, recall_train: 0.6937, recall_test: 0.6359 recall_val: 0.6891
INFO:root:Epoch [35], Loss: 1659.8763, Test Loss: 1705.3627, recall_train: 0.6915, recall_test: 0.6234 recall_val: 0.6906
INFO:root:Epoch [36], Loss: 1831.1016, Test Loss: 1692.3890, recall_train: 0.6910, recall_test: 0.6266 recall_val: 0.6828
INFO:root:Epoch [37], Loss: 1494.1586, Test Loss: 1720.2142, recall_train: 0.6923, recall_test: 0.6266 recall_val: 0.6781
INFO:root:Epoch [38], Loss: 1794.2914, Test Loss: 1747.2269, recall_train: 0.6924, recall_test: 0.6250 recall_val: 0.6781
INFO:root:Epoch [39], Loss: 1565.4631, Test Loss: 1734.8896, recall_train: 0.6898, recall_test: 0.6125 recall_val: 0.6859
INFO:root:Epoch [40], Loss: 1501.3754, Test Loss: 1709.5261, recall_train: 0.6894, recall_test: 0.6266 recall_val: 0.6750
INFO:root:Epoch [41], Loss: 1172.0676, Test Loss: 1723.3594, recall_train: 0.6906, recall_test: 0.6266 recall_val: 0.6719
